1 Point,2 Point,3 Point,4 Point,5 Point
Auriok Champion,Channel,Cyclonic Rift,Black Lotus,Ancestral Recall
Authority of the Consuls,Dig Through Time,Demonic Tutor,Luminarch Ascension,Time Walk
Balance,Exsanguinate,Hullbreacher,Thassa's Oracle,
Birthing Pod,Flash,Karakas,Time Vault,
Crop Rotation,Imperial Seal,Mana Crypt,,
Deathrite Shaman,"Kokusho, the Evening Star",Mox Emerald,,
Doomsday,Maze of Ith,Mox Jet,,
Enlightened Tutor,Mind Twist,Mox Pearl,,
Essence Warden,Mystical Tutor,Mox Ruby,,
Fastbond,"Oko, Thief of Crowns",Mox Sapphire,,
Force of Will,Protean Hulk,Sol Ring,,
Gifts Ungiven,Strip Mine,Underworld Breach,,
Green Sun’s Zenith,Tinker,Vampiric Tutor,,
Hermit Druid,Treasure Cruise,Winds of Abandon,,
Hunted Horror,True-Name Nemesis,,,
Intuition,,,,
"Jace, the Mind Sculptor",,,,
Library of Alexandria,,,,
Life from the Loam,,,,
Lim-Dul’s Vault,,,,
Lurrus of the Dream-Den,,,,
"Lutri, the Spellchaser",,,,
Mana Drain,,,,
Mana Vault,,,,
Merchant Scroll,,,,
Mishra’s Workshop,,,,
Mystic Sanctuary,,,,
Natural Order,,,,
Oath of Druids,,,,
Personal Tutor,,,,
Profane Tutor,,,,
Rhystic Study,,,,
Sensei’s Divining Top,,,,
Skullclamp,,,,
Smothering Tithe,,,,
Snapcaster Mage,,,,
Soul Attendant,,,,
Soul Warden,,,,
Sun Droplet,,,,
Survival of the Fittest,,,,
Tainted Pact,,,,
Time Spiral,,,,
Timetwister,,,,
Tolarian Academy,,,,
Umezawa’s Jitte,,,,
"Uro, Titan of Nature’s Wrath",,,,
Urza’s Saga,,,,
Wasteland,,,,
Wishclaw Talisman,,,,
Wrenn and Six,,,,
Yawgmoth’s Will,,,,
